Ref : 1573724,house in the town limit in kurunegala,Date : 19 Jun 2018 - 02:18 pm,Sell,House & Property,Houses,Kurunegala-Kurunegala,"Rs. 32,000,000"
Ref : 1573491,immediate sale of house in wellampitiya,Date : 18 Jun 2018 - 11:23 am,Sell,House & Property,Houses,Colombo-Wellampitiya,"Rs. 4,000,000"
Ref : 1573264,house & land for sale,Date : 18 Jun 2018 - 09:54 am,Sell,House & Property,Houses,Colombo,Negotiable
Ref : 1573372,house for rent in kalubowila,Date : 18 Jun 2018 - 09:21 am,Rent,House & Property,Houses,Colombo-Dehiwala,"Rs. 50,000"
Ref : 1572805,අම්බලන්ගොඩ සුපිරි නිවස විකිණ�...,Date : 14 Jun 2018 - 04:53 pm,Sell,House & Property,Houses,Galle-Ambalangoda,Negotiable
Ref : 1573759,house for sale at kalutare,Date : 19 Jun 2018 - 04:54 pm,Sell,House & Property,Houses,Kalutara-Kalutara,Negotiable
Ref : 1573754,house for sale in kadawatha,Date : 19 Jun 2018 - 04:54 pm,Sell,House & Property,Houses,Gampaha-Kadawatha,"Rs. 7,000,000"
Ref : 1573755,two storeyed brand new house for sale in marawila,Date : 19 Jun 2018 - 04:54 pm,Sell,House & Property,Houses,Puttalam-Marawila,Negotiable
Ref : 1573750,two storied brand new house for sale in hokandara,Date : 19 Jun 2018 - 04:53 pm,Sell,House & Property,Houses,Colombo-Hokandara,Negotiable
Ref : 1573751,house for rent in maharagama,Date : 19 Jun 2018 - 04:53 pm,Rent,House & Property,Houses,Colombo-Maharagama,"Rs. 25,000"
Ref : 1573748,house for sale in kaduwela,Date : 19 Jun 2018 - 04:21 pm,Sell,House & Property,Houses,Colombo-Kaduwela,"Rs. 13,500,000"
Ref : 1573737,"3 storied fully furnished high luxury house for sale in colombo road, negombo.",Date : 19 Jun 2018 - 04:19 pm,Sell,House & Property,Houses,Gampaha-Negombo,"Rs. 65,000,000"
Ref : 1573740,2 story 2.5 perches house for sale in mattakuliya sriwickramapura housing scheme...,Date : 19 Jun 2018 - 04:19 pm,Sell,House & Property,Houses,"Colombo-Colombo 15 (Mutwal, Modara, Mattakuliya, Mada","Rs. 3,200,000"
Ref : 1573734,house for quick sale,Date : 19 Jun 2018 - 03:09 pm,Sell,House & Property,Houses,Colombo,"Rs. 5,500,000"
Ref : 1573731,house for sale in kasbawa,Date : 19 Jun 2018 - 03:08 pm,Sell,House & Property,Houses,Colombo-Kesbewa,"Rs. 12,500,000"
Ref : 1573719,house for sale in kasbawa,Date : 19 Jun 2018 - 02:19 pm,Sell,House & Property,Houses,Colombo-Kesbewa,"Rs. 12,500,000"
Ref : 1573716,house for sale,Date : 19 Jun 2018 - 01:56 pm,Sell,House & Property,Houses,Matara-Matara,"Rs. 7,300,000"
Ref : 1573712,house for sale,Date : 19 Jun 2018 - 01:56 pm,Sell,House & Property,Houses,Matara-Matara,"Rs. 7,300,000"
